"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"","variation","Siatka mesh","id:1018","8115.23","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","30"
"","variation","Siatka mesh","id:1018","9451.73","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","35"
"","variation","Siatka mesh","id:1018","10788.2","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","40"
"","variation","Siatka mesh","id:1018","12124.7","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","45"
"","variation","Siatka mesh","id:1018","13461.2","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","50"
"","variation","Siatka mesh","id:1018","374.22","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","1"
"","variation","Siatka mesh","id:1018","716.364","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","2"
"","variation","Siatka mesh","id:1018","1058.51","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","3"
"","variation","Siatka mesh","id:1018","1400.65","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","4"
"","variation","Siatka mesh","id:1018","1742.8","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","5"
"","variation","Siatka mesh","id:1018","3453.52","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","10"
"","variation","Siatka mesh","id:1018","5164.24","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","15"
"","variation","Siatka mesh","id:1018","6874.96","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","20"
"","variation","Siatka mesh","id:1018","8585.68","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","25"
"","variation","Siatka mesh","id:1018","10296.4","Wymiar","400x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","30"
